Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Facial Treatment Essence (Pitera Essence)	SK-II	185	Essence	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dark Spots, Pores	No	https://www.sephora.com/product/facial-treatment-essence-P375849?icid2=products%20grid:p375849
Beauty Elixir	Caudalie	49	Essence	Normal, Oily, Combination, Sensitive	Dullness & Uneven Texture, Pores, Dryness	Yes	https://www.sephora.com/product/beauty-elixir-P6025?icid2=products%20grid:p6025
The Essence Plumping Skin Softener	Tatcha	95	Essence	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Fine Lines & Wrinkles, Dryness	Yes	https://www.sephora.com/product/the-essence-plumping-skin-softener-P415771?icid2=products%20grid:p415771
Luminous Dewy Skin Mist	Tatcha	48	Essence	Normal, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dryness, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/luminous-dewy-skin-mist-P399623?icid2=products%20grid:p399623
Black Tea Kombucha Antioxidant Essence	Fresh	68	Essence	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Fine Lines & Wrinkles, Dark Spots	No	https://www.sephora.com/product/black-tea-kombucha-facial-treatment-essence-P428628?icid2=products%20grid:p428628
GenOptics Aura Essence Serum	SK-II	245	Essence	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dark Spots	No	https://www.sephora.com/product/genoptics-aura-essence-P410756?icid2=products%20grid:p410756
Watermelon Glow Ultra-Fine Mist	Glow Recipe	28	Essence	Normal, Dry, Combination, Oily	Dryness, Redness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/watermelon-glow-ultra-fine-mist-P442744?icid2=products%20grid:p442744
Ceramidin Liquid	Dr. Jart+	39	Essence	Normal, Combination, Dry, Sensitive	Dryness, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/ceramidin-tm-liquid-P434364?icid2=products%20grid:p434364
Squalane + Hyaluronic Toning Mist	Biossance	32	Essence	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/squalane-micronutrient-fine-mist-P429659?icid2=products%20grid:p429659
Water Bank Hydro Essence	Laneige	39	Essence	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture, Oiliness	No	https://www.sephora.com/product/water-bank-hydro-essence-P448187?icid2=products%20grid:p448187
The Satin Skin Mist	Tatcha	48	Essence	Combination, Oily	Oiliness, Pores, Dryness	Yes	https://www.sephora.com/product/tatcha-the-satin-skin-mist-P445465?icid2=products%20grid:p445465
Fermented Soybean Firming Energy Essence	Innisfree	39	Essence	Normal, Dry, Combination, Oily	Loss of Firmness & Elasticity, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/fermented-soybean-firming-energy-essence-P449862?icid2=products%20grid:p449862
Rosewater Mist with Witch Hazel	Boscia	24	Essence	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dryness, Pores	Yes	https://www.sephora.com/product/rosewater-mist-with-witch-hazel-P434359?icid2=products%20grid:p434359
