Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Rub-A-Dub Refining Peel Gel	Saturday Skin	28	Exfoliator	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dryness, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/rub-a-dub-refining-peel-gel-P423971?icid2=products%20grid:p423971
Sea Frxxxtion Stick Exfoliating Cleanser	Tarte	22	Exfoliator	Normal, Oily, Combination, Dry, Sensitive	Oiliness, Pores, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/sea-frxxxtion-stick-exfoliating-cleanser-P409631?icid2=products%20grid:p409631
Facial Radiance Polish	First Aid Beauty	25	Exfoliator	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture	Yes	https://www.sephora.com/product/facial-radiance-polish-P378869?icid2=products%20grid:p378869
Daily Microfoliant Exfoliator	Dermalogica	59	Exfoliator	Normal, Dry, Combination, Oily	Pores, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/daily-microfoliant-P423688?icid2=products%20grid:p423688
The Rice Polish Foaming Enzyme Powder	Tatcha	65	Exfoliator	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Fine Lines & Wrinkles, Pores	Yes	https://www.sephora.com/product/polished-rice-enzyme-powder-P426340?icid2=products%20grid:p426340
Transforming Walnut Scrub	Olehenriksen	28	Exfoliator	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Pores	Yes	https://www.sephora.com/product/transforming-walnut-scrub-P42318?icid2=products%20grid:p42318
Pore-Balance Facial Sauna Scrub	Olehenriksen	28	Exfoliator	Oily, Combination	Oiliness, Pores, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/pore-balance-tm-facial-sauna-scrub-P418872?icid2=products%20grid:p418872
Sugar Strawberry Exfoliating Face Wash	Fresh	33	Exfoliator	Normal, Dry, Combination, Oily	Oiliness, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/sugar-strawberry-exfoliating-face-wash-P445827?icid2=products%20grid:p445827
Microdermabrasion Age Defying Exfoliator	Dr. Brandt Skincare	79	Exfoliator	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Fine Lines & Wrinkles, Acne	No	https://www.sephora.com/product/microdermabrasion-age-defying-exfoliator-P45503?icid2=products%20grid:p45503
Exfoliating Scrub	Clinique	23	Exfoliator	Oily, Combination	Oiliness, Pores, Acne	No	https://www.sephora.com/product/exfoliating-scrub-P122718?icid2=products%20grid:p122718
Exfoliating Peel Gel	Boscia	34	Exfoliator	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dark Spots, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/exfoliating-peel-gel-P393292?icid2=products%20grid:p393292
The Microdelivery Exfoliating Facial Wash	Philosophy	8	Exfoliator	Normal, Oily, Combination, Dry, Sensitive	Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/the-microdelivery-exfoliating-wash-P184109?icid2=products%20grid:p184109
JuJu Exfoliating Bar	Drunk Elephant	28	Exfoliator	Normal, Oily, Combination, Dry	Dullness & Uneven Texture, Oiliness	Yes	https://www.sephora.com/product/juju-bar-P392249?icid2=products%20grid:p392249
