Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Banana Bright Eye Crème	Olehenriksen	39	Eye Cream	Normal, Oily, Combination, Dry, Sensitive	Fine Lines & Wrinkles, Dark Circles, Dryness	Yes	https://www.sephora.com/product/banana-bright-eye-creme-P426339?icid2=products%20grid:p426339
Advanced Night Repair Eye Supercharged Complex	Estée Lauder	62	Eye Cream	Normal, Oily, Combination, Dry	Fine Lines & Wrinkles, Dark Circles, Puffiness	No	https://www.sephora.com/product/advanced-night-repair-eye-supercharged-complex-P433885?icid2=products%20grid:p433885
C-Tango Multivitamin Eye Cream	Drunk Elephant	64	Eye Cream	Normal, Oily, Combination, Dry, Sensitive	Loss of Firmness & Elasticity, Fine Lines & Wrinkles, Brightening	Yes	https://www.sephora.com/product/c-tango-multivitamin-eye-cream-P429515?icid2=products%20grid:p429515
Squalane + Marine Algae Eye Cream	Biossance	54	Eye Cream	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/squalane-marine-algae-eye-cream-P447210?icid2=products%20grid:p447210
The Silk Peony Melting Eye Cream	Tatcha	60	Eye Cream	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/the-silk-peony-melting-eye-cream-P447780?icid2=products%20grid:p447780
Creamy Eye Treatment with Avocado	Kiehl's Since 1851	50	Eye Cream	Dry	Dryness, Dark Circles	No	https://www.sephora.com/product/creamy-eye-treatment-with-avocado-P422000?icid2=products%20grid:p422000
Shaba Complex Firming Eye Serum	Drunk Elephant	60	Eye Cream	Normal, Oily, Combination, Dry, Sensitive	Loss of Firmness & Elasticity, Fine Lines & Wrinkles, Elasticity	Yes	https://www.sephora.com/product/shaba-complex-eye-serum-P419223?icid2=products%20grid:p419223
Brighteyes Illuminating Anti-Fatigue Eye Cream	Glamglow	39	Eye Cream	Normal, Oily, Combination, Dry	Dark Circles, Fine Lines & Wrinkles, Dryness	No	https://www.sephora.com/product/brighteyes-illuminating-anti-fatigue-eye-cream-P448208?icid2=products%20grid:p448208
Bright-Eyed 100% Mineral Eye Cream SPF 40	Supergoop!	36	Eye Cream	Normal, Dry	Fine Lines & Wrinkles, Redness, Dryness	Yes	https://www.sephora.com/product/supergoop-bright-eyed-100-mineral-eye-cream-spf-40-P453226?icid2=products%20grid:p453226
GinZing Refreshing Eye Cream to Brighten and Depuff	Origins	32	Eye Cream	Normal, Oily, Combination, Dry	Dark Circles, Puffiness, Dryness	No	https://www.sephora.com/product/ginzing-refreshing-eye-cream-P297511?icid2=products%20grid:p297511
Moisturizing Eye Bomb	Belif	48	Eye Cream	Normal, Oily, Combination, Dry, Sensitive	Loss of Firmness & Elasticity, Fine Lines & Wrinkles, Dryness	No	https://www.sephora.com/product/moisturizing-eye-bomb-P422905?icid2=products%20grid:p422905
Caffeine Eye Cream	The Inkey List	10	Eye Cream	Normal, Oily, Combination, Dry	Puffiness, Fine Lines & Wrinkles, Dryness	Yes	https://www.sephora.com/product/caffeine-eye-cream-P443840?icid2=products%20grid:p443840
Black Tea Firming and De-Puffing Eye Cream	Fresh	68	Eye Cream	Normal, Oily, Combination, Dry	Dark Circles, Fine Lines & Wrinkles, Dryness	No	https://www.sephora.com/product/black-tea-age-delay-eye-concentrate-P384778?icid2=products%20grid:p384778
Cheer Up Brightening Vitamin C Eye Cream with Acerola Cherry	Farmacy	45	Eye Cream	Normal, Oily, Combination, Dry	Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/farmacy-cheer-up-brightening-vitamin-c-eye-cream-with-acerola-cherry-P453229?icid2=products%20grid:p453229
Cooling Water	Milk Makeup	26	Eye Cream	Normal, Oily, Combination, Dry	Dryness, Dullness & Uneven Texture, Puffiness	No	https://www.sephora.com/product/cooling-water-P404795?icid2=products%20grid:p404795
FAB Skin Lab Retinol Eye Cream with Triple Hyaluronic Acid	First Aid Beauty	42	Eye Cream	Normal, Oily, Combination, Dry	Fine Lines & Wrinkles, Loss of Firmness & Elasticity, Dark Circles, Puffiness	Yes	https://www.sephora.com/product/fab-skin-labe-retinol-eye-cream-triple-hyaluronic-acid-P442713?icid2=products%20grid:p442713
Brighten-i Eye Cream	The Inkey List	10	Eye Cream	Normal, Oily, Combination, Dry	Dryness, Fine Lines & Wrinkles, Dark Circles	Yes	https://www.sephora.com/product/brighten-i-eye-cream-P448802?icid2=products%20grid:p448802
Green Tea Seed Intensive Hydrating Roll-On Eye Serum	Innisfree	20	Eye Cream	Normal, Oily, Combination, Dry	Dryness, Puffiness, Dark Circles	No	https://www.sephora.com/product/green-tea-seed-intensive-hydrating-roll-on-eye-serum-P449852?icid2=products%20grid:p449852
Brightening Eye Cream – Hydrate & Depuff	Sephora Collection	16	Eye Cream	Normal, Oily, Combination, Dry	Dryness, Dark Circles, Puffiness	Yes	https://www.sephora.com/product/brightening-eye-cream-hydrate-depuff-P438619?icid2=products%20grid:p438619
Green Tea Seed Intensive Hydrating Eye Cream	Innisfree	24	Eye Cream	Normal, Oily, Combination, Dry	Dryness, Dark circles	No	https://www.sephora.com/product/green-tea-seed-intensive-hydrating-eye-cream-P449851?icid2=products%20grid:p449851
