Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
F-Balm Electrolyte Waterfacial Mask	Drunk Elephant	52	Mask	Normal, Dry, Combination, Oily	Loss of Firmness & Elasticity, Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/drunk-elephant-f-balm-electrolyte-waterfacial-mask-P454120?icid2=products%20grid:p454120
T.L.C. Sukari Babyfacial 25% AHA + 2% BHA Mask	Drunk Elephant	80	Mask	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dark Spots, Fine Lines & Wrinkles	No	https://www.sephora.com/product/t-l-c-sukari-babyfacial-P415777?icid2=products%20grid:p415777
Superberry Hydrate + Glow Dream Mask	Youth to the People	28	Mask	Dry	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/superberry-hydrate-glow-dream-mask-P440307?icid2=products%20grid:p440307
Face Mask	Sephora Collection	6	Mask	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture, Acne	No	https://www.sephora.com/product/face-mask-P429722?icid2=products%20grid:p429722
Hypoallergenic Cica Sleeping Mask	Laneige	34	Mask	Normal, Dry, Combination, Oily	Redness, Dryness	No	https://www.sephora.com/product/laneige-hypoallergenic-cica-sleeping-mask-P454313?icid2=products%20grid:p454313
Supermud Charcoal Instant Treatment Mask	GLAMGLOW	59	Mask	Combination, Oily	Pores, Acne, Oiliness	No	https://www.sephora.com/product/super-mud-clearing-treatment-P376409?icid2=products%20grid:p376409
Jet Lag Mask	Summer Fridays	48	Mask	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/jet-lag-mask-P429952?icid2=products%20grid:p429952
Water Sleeping Mask	Laneige	25	Mask	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture, Fine Lines & Wrinkles	No	https://www.sephora.com/product/water-sleeping-mask-P420651?icid2=products%20grid:p420651
Watermelon + AHA Glow Sleeping Mask	Glow Recipe	45	Mask	Normal, Dry, Combination, Oily	Pores, Dryness, Oiliness	Yes	https://www.sephora.com/product/watermelon-glow-sleeping-mask-P420160?icid2=products%20grid:p420160
Salicylic Acid 2% Masque	The Ordinary	12	Mask	Normal	Dullness & Uneven Texture	No	https://www.sephora.com/product/the-ordinary-salicylic-acid-2-masque-P448530?icid2=products%20grid:p448530
Rare Earth Deep Pore Cleansing Masque	Kiehl's Since 1851	36	Mask	Oily	Pores, Dullness & Uneven Texture, Oiliness	No	https://www.sephora.com/product/rare-earth-deep-pore-cleansing-mask-P422002?icid2=products%20grid:p422002
Violet-C Radiance Mask	Tatcha	68	Mask	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dark Spots, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/violet-c-radiance-mask-P420699?icid2=products%20grid:p420699
Umbrian Clay Pore Purifying Face Mask	Fresh	58	Mask	Normal, Dry, Combination, Oily	Pores, Dullness & Uneven Texture, Acne	No	https://www.sephora.com/product/umbrian-clay-purifying-mask-P54104?icid2=products%20grid:p54104
Sheet Masks	Dr. Jart+	9	Mask	Normal, Oily, Combination, Dry, Sensitive	Dryness, Fine Lines & Wrinkles, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/sheet-masks-P429529?skuId=1723840&icid2=products%20grid:p429529
Honey Potion Renewing Antioxidant Hydration Mask	Farmacy	38	Mask	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/honey-potion-renewing-antioxidant-hydration-mask-with-echinacea-greenenvy-P410873?icid2=products%20grid:p410873&skuId=2041655
Clear Improvement Active Charcoal Mask to Clear Pores	Origins	26	Mask	Normal, Oily, Combination, Dry	Dullness & Uneven Texture, Pores, Oiliness	Yes	https://www.sephora.com/product/clear-improvement-active-charcoal-mask-to-clear-pores-P297524?icid2=products%20grid:p297524&skuId=2175370
Rose Face Mask	Fresh	62	Mask	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/rose-face-mask-P12336?icid2=products%20grid:p12336
Luminizing Black Charcoal Mask	Boscia	34	Mask	Normal, Oily, Combination, Dry, Sensitive	Pores, Oiliness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/luminizing-black-mask-P266800?icid2=products%20grid:p266800
Aqua Bomb Sleeping Mask	Belif	34	Mask	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture, Redness	No	https://www.sephora.com/product/aqua-bomb-sleeping-mask-P433443?icid2=products%20grid:p433443
