Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Protini Polypeptide Moisturizer	Drunk Elephant	68	Moisturizer	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?icid2=products%20grid:p427421
Ultra Facial Cream	Kiehl's Since 1851	32	Moisturizer	Dry, Normal, Combination	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/ultra-facial-cream-P421996?icid2=products%20grid:p421996
The Dewy Skin Cream	Tatcha	68	Moisturizer	Dry, Normal	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/the-dewy-skin-cream-P441101?icid2=products%20grid:p441101
The Moisturizing Soft Cream	La Mer	180	Moisturizer	Normal, Dry, Combination	Dryness, Fine Lines & Wrinkles, Pores	No	https://www.sephora.com/product/the-moisturizing-soft-cream-P416342?icid2=products%20grid:p416342
The Water Cream	Tatcha	68	Moisturizer	Normal, Oily, Combination, Sensitive	Dryness, Pores, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/the-water-cream-P418218?icid2=products%20grid:p418218
Crème de la Mer Moisturizer	La Mer	180	Moisturizer	Dry	Dryness, Redness, Fine Lines & Wrinkles	No	https://www.sephora.com/product/creme-de-la-mer-moisturizing-cream-P416341?icid2=products%20grid:p416341
Lala Retro Whipped Moisturizer with Ceramides	Drunk Elephant	60	Moisturizer	Normal, Dry, Combination, Oily	Dryness, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?icid2=products%20grid:p446938
Virgin Marula Antioxidant Face Oil	Drunk Elephant	72	Moisturizer	Normal, Oily, Combination, Dry	Dryness, Uneven Skin Tone, Anti-aging	Yes	https://www.sephora.com/product/virgin-marula-tm-luxury-facial-oil-P392245?icid2=products%20grid:p392245
The True Cream Aqua Bomb	Belif	38	Moisturizer	Normal, Oily, Combination	Dryness, Pores	No	https://www.sephora.com/product/the-true-cream-aqua-bomb-P394639?icid2=products%20grid:p394639
Rose Deep Hydration Moisturizer	Fresh	42	Moisturizer	Normal, Dry, Combination, Oily	Dryess, Dullness & Uneven Texture	No	https://www.sephora.com/product/rose-deep-hydration-face-cream-P406686?icid2=products%20grid:p406686
Ultra Repair Cream Intense Hydration	First Aid Beauty	34	Moisturizer	Normal, Dry, Combination	Dryness, Fine Lines & Wrinkles, Redness	Yes	https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?icid2=products%20grid:p248407
Natural Moisturizing Factors + HA	The Ordinary	5.8	Moisturizer	Normal, Oily, Combination, Dry, Sensitive	Dryness	No	https://www.sephora.com/product/the-ordinary-deciem-natural-moisturizing-factors-ha-P427414?icid2=products%20grid:p427414
Moisture Surge 72-Hour Auto-Replenishing Hydrator	Clinique	39.5	Moisturizer	Normal, Oily, Combination, Dry, Sensitive	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/moisture-surge-72-hour-auto-replenishing-hydrator-P425416?icid2=products%20grid:p425416
Magic Cream Moisturizer	Charlotte Tilbury	64	Moisturizer	Dry	Dryness, Fine Lines & Wrinkles, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/charlotte-s-magic-cream-P433520?icid2=products%20grid:p433520
Lotus Youth Preserve Dream Night Cream	Fresh	48	Moisturizer	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dryness, Fine Lines & Wrinkles	No	https://www.sephora.com/product/lotus-youth-preserve-dream-face-cream-P440312?icid2=products%20grid:p440312
Ceramidin Cream	Dr. Jart+	48	Moisturizer	Normal, Dry, Combination	Dryness, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/ceramidin-tm-cream-P434363?icid2=products%20grid:p434363
The True Cream Moisturizing Bomb	Belif	38	Moisturizer	Normal, Dry	Dryness, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/the-true-cream-moisturizing-bomb-P394624?icid2=products%20grid:p394624
Vitamin Enriched Face Base Priming Moisturizer	Bobbi Brown	60	Moisturizer	Normal, Combination, Oily	Dryness, Fine Lines & Wrinkles, Oiliness	No	https://www.sephora.com/product/vitamin-enriched-face-base-P270594?icid2=products%20grid:p270594
Dramatically Different Moisturizing Lotion+	Clinique	28	Moisturizer	Dry, Combination	Dryness	No	https://www.sephora.com/product/dramatically-different-moisturizing-lotion-P381030?icid2=products%20grid:p381030
C-Rush Vitamin C Gel Moisturizer	Olehenriksen	46	Moisturizer	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dryness, Fine Lines & Wrinkles	Yes	https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?icid2=products%20grid:p430337
Lotus Youth Preserve Moisturizer	Fresh	48	Moisturizer	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Puffiness, Fine Lines & Wrinkles	No	https://www.sephora.com/product/fresh-lotus-youth-preserve-moisturizer-P454378?icid2=products%20grid:p454378
Banana Soufflé Moisture Cream	Glow Recipe	39	Moisturizer	Normal, Dry, Combination, Oily	Dryness, Redness	Yes	https://www.sephora.com/product/glow-recipe-banana-souffle-moisture-cream-P453223?icid2=products%20grid:p453223
Cicapair Tiger Grass Color Correcting Treatment SPF 30	Dr. Jart+	52	Moisturizer	Normal, Dry, Combination, Oily	Redness, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=products%20grid:p411540
Water Bank Moisture Cream	Laneige	38	Moisturizer	Normal, Dry	Acne, Dryness, Blemishes	No	https://www.sephora.com/product/water-bank-moisture-cream-P448186?icid2=products%20grid:p448186
Benefiance Wrinkle Smoothing Day Cream SPF 23	Shiseido	70	Moisturizer	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness	No	https://www.sephora.com/product/benefiance-wrinkle-smoothing-day-cream-broad-spectrum-spf-23-P448201?icid2=products%20grid:p448201
Revitalizing Supreme Global Anti-Aging Crème	Estée Lauder	85	Moisturizer	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/revitalizing-supreme-global-anti-aging-creme-P384342?icid2=products%20grid:p384342
Water Drench Hyaluronic Cloud Cream	Peter Thomas Roth	52	Moisturizer	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture, Fine Lines & Wrinkles	No	https://www.sephora.com/product/water-drench-hyaluronic-cloud-cream-P415701?icid2=products%20grid:p415701
R.N.A. POWER Anti-Aging Face Cream	SK-II	235	Moisturizer	Normal, Dry, Sensitive	Fine Lines & Wrinkles, Loss of Firmness & Elasticity, Dullness & Uneven Texture	No	https://www.sephora.com/product/r-n-a-power-radical-new-age-cream-P405950?icid2=products%20grid:p405950:product
Pomegranate Balancing Cream Gel	Korres	34	Moisturizer	Oily, Combination	Dryness, Pores, Oiliness	Yes	https://www.sephora.com/product/pomegranate-balancing-cream-gel-moisturiser-P305109?skuId=1393156&keyword=KORRES%20-%20Pomegranate%20Balancing%20Cream%20Gel
Lapis Balancing Facial Oil	Herbivore	72	Moisturizer	Normal, Oily, Combination	Acne, Redness, Pores	Yes	https://www.sephora.com/product/lapis-oil-balancing-facial-oil-P400203?icid2=products%20grid:p400203
Umbrian Clay Oil-Free Lotion	Fresh	38	Moisturizer	Combination, Oily	Oiliness, Pores, Acne	No	https://www.sephora.com/product/umbrian-clay-oil-free-lotion-P185408?icid2=products%20grid:p185408
Counter Balance Oil Control Hydrator	Olehenriksen	36	Moisturizer	Combination, Oily	Oiliness, Pores, Acne	No	https://www.sephora.com/product/counter-balance-oil-control-hydrator-P416818?icid2=products%20grid:p416818
