Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Green Clean Makeup Removing Cleansing Balm	Farmacy	34	Oil Cleanser	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/green-clean-makeup-meltaway-cleansing-balm-P417238?icid2=products%20grid:p417238
Pure One Step Camellia Cleansing Oil	Tatcha	48	Oil Cleanser	Normal, Oily, Combination, Dry, Sensitive	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/pure-one-step-camellia-cleansing-oil-P392235?icid2=products%20grid:p392235
Take the Day Off Cleansing Balm	Clinique	30	Oil Cleanser	Normal, Oily, Combination, Dry, Sensitive	Dryness	No	https://www.sephora.com/product/take-the-day-off-cleansing-balm-P126301?icid2=products%20grid:p126301
Slaai Makeup-Melting Butter Cleanser	Drunk Elephant	34	Oil Cleanser	Normal, Dry, Combination, Oily	Dryness	No	https://www.sephora.com/product/slaai-makeup-melting-butter-cleanser-P442566?icid2=products%20grid:p442566
Seaberry Skin Nutrition Cleansing Oil	Fresh	43	Oil Cleanser	Normal, Dry, Combination, Oily	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/seaberry-skin-nutrition-cleansing-oil-P405935
Midnight Recovery Botanical Cleansing Oil	Kiehl's Since 1851	32	Oil Cleanser	Normal, Dry	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/midnight-recovery-botanical-cleansing-oil-P422257?icid2=products%20grid:p422257:product
Barrier+ Foaming Oil Cleanser	Skinfix	28	Oil Cleanser	Normal, Dry, Combination	Dryness, Dullness & Uneven Texture, Redness	Yes	https://www.sephora.com/product/barrier-foaming-oil-cleanser-P442836?icid2=products%20grid:p442836:product
Solid Cleansing Oil - Coconut Oil Makeup Remover	Erborian	39	Oil Cleanser	Normal, Dry, Combination, Oily	Dryness	No	https://www.sephora.com/product/solid-cleansing-oil-P396091?icid2=products%20grid:p396091:product
Oil and Water Double Cleanser	The Inkey List	10	Oil Cleanser	Normal	Dryness	Yes	https://www.sephora.com/product/oil-water-double-cleanser-P447779?icid2=products%20grid:p447779:product
MakeUp-BreakUp Cool Cleansing Oil	Boscia	32	Oil Cleanser	Normal, Dry, Combination, Oily	Pores, Dryness	Yes	https://www.sephora.com/product/makeup-breakup-cool-cleansing-oil-P254604?icid2=products%20grid:p254604:product
