Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Advanced Night Repair Synchronized Recovery Complex II	Estée Lauder	70	Serum	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/advanced-night-repair-synchronized-recovery-complex-ii-P379994?icid2=products%20grid:p379994&skuId=1551761
B-Hydra Intensive Hydration Serum	Drunk Elephant	48	Serum	Normal, Oily, Combination, Dry	Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/b-hydra-intensive-hydration-gel-P406712?icid2=products%20grid:p406712
Caffeine Solution 5% + EGCG	The Ordinary	6.7	Serum	Normal, Oily, Combination, Dry, Sensitive	Dark Circles, Puffiness	No	https://www.sephora.com/product/the-ordinary-deciem-caffeine-solution-5-egcg-P427416?icid2=products%20grid:p427416
The Serum Stick: Treatment & Touch Up Balm	Tatcha	48	Serum	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/tatcha-the-serum-stick-treatment-touch-up-balm-P454018?icid2=products%20grid:p454018
Clearly Corrective Dark Spot Solution	Kiehl's Since 1851	54	Serum	Normal	Dark Spots, Dullness & Uneven Texture, Acne	No	https://www.sephora.com/product/clearly-corrective-dark-spot-solution-P422022?icid2=products%20grid:p422022
Squalane + 10% Lactic Acid Resurfacing Night Serum	Biossance	62	Serum	Normal, Dry, Combination, Oily	Pores, Dullness & Uneven Texture, Acne	Yes	https://www.sephora.com/product/biossance-squalane-10-lactic-acid-resurfacing-night-serum-P453224?icid2=products%20grid:p453224
Hyaluronic Acid Hydrating Serum	The Inkey List	8	Serum	Normal, Dry, Combination, Oily	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/hyaluronic-acid-serum-P443845?icid2=products%20grid:p443845
Bakuchiol Retinol Alternative Smoothing Serum	Herbivore	54	Serum	Normal, Dry, Combination, Oily	Pores, Fine Lines & Wrinkles, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/bakuchiol-retinol-alternative-soothing-serum-P446643?icid2=products%20grid:p446643
Niacinamide 10% + Zinc 1%	The Ordinary	5.9	Serum	Normal, Oily, Combination, Dry, Sensitive	Oiliness, Pores	No	https://www.sephora.com/product/the-ordinary-deciem-niacinamide-10-zinc-1-P427417?icid2=products%20grid:p427417
C-Firma Vitamin C Day Serum	Drunk Elephant	80	Serum	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dullness & Uneven Texture, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/c-firma-day-serum-P400259?icid2=products%20grid:p400259
The Treatment Lotion	La Mer	155	Serum	Normal, Dry, Combination, Oily	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/the-treatment-lotion-P416345?icid2=products%20grid:p416345
Hyaluronic Acid 2% + B5	The Ordinary	6.8	Serum	Normal, Oily, Combination, Dry, Sensitive	Dryness	No	https://www.sephora.com/product/the-ordinary-deciem-hyaluronic-acid-2-b5-P427419?icid2=products%20grid:p427419
Buffet	The Ordinary	14.8	Serum	Normal, Oily, Combination, Dry, Sensitive	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/the-ordinary-deciem-buffet-P427420?icid2=products%20grid:p427420
T.L.C. Framboos Glycolic Resurfacing Night Serum	Drunk Elephant	90	Serum	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Pores	Yes	https://www.sephora.com/product/t-l-c-framboos-tm-glycolic-night-serum-P392246?icid2=products%20grid:p392246
Good Genes All-In-One Lactic Acid Treatment	Sunday Riley	105	Serum	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Pores, Dark Spots	No	https://www.sephora.com/product/good-genes-all-in-one-lactic-acid-treatment-P309308?icid2=products%20grid:p309308&skuId=1418581
A-Passioni Retinol Cream	Drunk Elephant	74	Serum	Normal, Dry, Combination, Oily	Fine Lines & Wrinkles, Dark Spots, Dryness	Yes	https://www.sephora.com/product/a-passioni-retinol-cream-P439926?icid2=products%20grid:p439926
Double Serum Complete Age Control Concentrate	Clarins	89	Serum	Normal, Oily, Combination, Dry, Sensitive	Loss of Firmness & Elasticity, Dullness & Uneven Texture	No	https://www.sephora.com/product/double-serum-complete-age-control-concentrate-P421235?icid2=products%20grid:p421235
Truth Serum	Olehenriksen	50	Serum	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/truth-serum-P42343?skuId=1910470&icid2=products%20grid:p42343
