Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Unseen Sunscreen SPF 40	Supergoop!	34	Sun Protection	Normal, Dry, Oily, Combination	Fine Lines & Wrinkles, Pores, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?icid2=products%20grid:p454380
Urban Environment Oil-Free UV Protector Broad Spectrum Face Sunscreen SPF 42	Shiseido	35	Sun Protection	Normal, Oily, Combination	Pores, Oiliness	No	https://www.sephora.com/product/urban-environment-oil-free-uv-protector-broad-spectrum-spf-42-for-face-P307405?icid2=products%20grid:p307405
Silken Pore Perfecting Sunscreen Broad Spectrum SPF 35 PA+++	Tatcha	65	Sun Protection	Normal, Oily, Combination, Dry, Sensitive	Pores, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/silken-pore-perfecting-sunscreen-broad-spectrum-spf-35-P408206?icid2=products%20grid:p408206
100% Mineral Smooth & Poreless Matte Screen SPF 40	Supergoop!	38	Sun Protection	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture, Dark Spots	Yes	https://www.sephora.com/product/100-mineral-smooth-poreless-matte-screen-spf-40-P434558?icid2=products%20grid:p434558
Superscreen Daily Moisturizer Broad Spectrum SPF 40 PA+++	Supergoop!	38	Sun Protection	Normal, Dry, Combination	Dryness, Fine Lines & Wrinkles, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/superscreen-daily-moisturizer-broad-spectrum-spf-40-pa-P439928?icid2=products%20grid:p439928
Green Defense Daily Mineral Sunscreen	Farmacy	36	Sun Protection	Normal, Dry, Oily, Combination	Fine Lines & Wrinkles, Redness, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/green-defense-daily-mineral-sunscreen-P449188?icid2=products%20grid:p449188
Cicapair Tiger Grass Color Correcting Treatment SPF 30	Dr. Jart+	52	Sun Protection	Normal, Dry, Oily, Combination	Redness, Dryness, Dullness & Uneven texture	No	https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=products%20grid:p411540
Umbra Sheer Physical Daily Defense Broad Spectrum Sunscreen SPF 30	Drunk Elephant	34	Sun Protection	Normal, Dry, Oily, Combination	Fine Lines & Wrinkles, Dark Spots, Dullness & Uneven Texture	No	https://www.sephora.com/product/umbra-tm-sheer-physical-daily-defense-broad-spectrum-sunscreen-spf-30-P419222?icid2=products%20grid:p419222
Umbra Tinte Physical Daily Defense Broad Spectrum Sunscreen SPF 30	Drunk Elephant	36	Sun Protection	Normal, Dry, Oily, Combination	Fine Lines & Wrinkles, Dark Spots, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/umbra-tinte-tm-physical-daily-defense-broad-spectrum-sunscreen-spf-30-P419221?icid2=products%20grid:p419221
Play Everyday Lotion SPF 50 with Sunflower Extract	Supergoop!	32	Sun Protection	Normal, Dry, Oily, Combination	Dryness	Yes	https://www.sephora.com/product/supergoop-play-everyday-lotion-spf-50-with-sunflower-extract-P454383?icid2=products%20grid:p454383&skuId=2329191
Glow Stick SPF 50	Supergoop!	25	Sun Protection	Normal, Dry	Fine Lines & Wrinkles, Dryness, Loss of Firmness & Elasticity	Yes	https://www.sephora.com/product/glow-stick-sunscreen-spf-50-P429953?icid2=products%20grid:p429953
Pep-Start Daily UV Protector Broad Spectrum SPF 50	Clinique	19.5	Sun Protection	Normal, Oily, Combination, Dry, Sensitive	Dryness	No	https://www.sephora.com/product/pep-start-daily-uv-protector-broad-spectrum-spf-50-P415773?icid2=products%20grid:p415773
Oil-Free Sun Guard Sunscreen Water Resistant SPF 45	Jack Black	21	Sun Protection	Normal, Oily, Combination	Oiliness	No	https://www.sephora.com/product/oil-free-sun-guard-sunscreen-water-resistant-spf-45-P397664?icid2=products%20grid:p397664
Play Antioxidant Mist SPF 30 with Vitamin C	Supergoop!	21	Sun Protection	Normal, Dry, Oily, Combination	Pores, Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/supergoop-play-antioxidant-mist-spf-30-with-vitamin-c-P454391?icid2=products%20grid:p454391
