Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Alcohol-Free Rose Petal Witch Hazel Facial Toner	Thayers	8	Toner	Normal, Oily, Combination, Dry, Sensitive	Dryness, Acne, Oiliness, Redness, Pores	No	https://www.amazon.com/Thayers-Alcohol-Free-Petal-Formula-12-Facial/dp/B007HD570Q/ref=sr_1_4?keywords=witch+hazel+toner&qid=1578881683&sr=8-4
Glycolic Acid 7% Toning Solution	The Ordinary	8.7	Toner	Normal, Oily, Combination, Dry, Sensitive	Dullness & Uneven Texture	No	https://www.sephora.com/product/the-ordinary-deciem-glycolic-acid-7-toning-solution-P427406?icid2=products%20grid:p427406
Rose Deep Hydration Facial Toner	Fresh	45	Toner	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/rose-deep-hydration-facial-toner-P417936?icid2=products%20grid:p417936
Glow2OH Dark Spot Toner	Olehenriksen	29	Toner	Normal, Dry, Combination, Oily	Dark Spots, Fine Lines & Wrinkles, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/glow2oh-dark-spot-toner-P439061?icid2=products%20grid:p439061
Balancing Force Oil Control Toner	Olehenriksen	29	Toner	Normal, Oily, Combination, Dry, Sensitive	Oiliness, Pores, Acne	No	https://www.sephora.com/product/balancing-force-oil-control-toner-P416816?icid2=products%20grid:p416816
Calendula Herbal Extract Alcohol Free Toner	Kiehl's Since 1851	38	Toner	Combination	Redness, Dullness & Uneven Texture, Oiliness	No	https://www.sephora.com/product/calendula-herbal-extract-alcohol-free-toner-P421997?icid2=products%20grid:p421997
Ultra Facial Toner	Kiehl's Since 1851	17	Toner	Normal, Dry, Sensitive	Dryness, Redness	No	https://www.sephora.com/product/ultra-facial-toner-P422011?icid2=products%20grid:p422011
Facial Treatment Clear Lotion Toner	SK-II	76	Toner	Normal, Oily, Combination, Dry, Sensitive	Pores, Dullness & Uneven Texture	No	https://www.sephora.com/product/facial-treatment-clear-lotion-P375853?icid2=products%20grid:p375853
Moisturizing Toner	Caudalie	28	Toner	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/moisturizing-toner-P253623?icid2=products%20grid:p253623
Ultra Repair Wild Oat Hydrating Toner	First Aid Beauty	22	Toner	Normal, Dry, Combination	Dryness, Fine Lines & Wrinkles, Redness	Yes	https://www.sephora.com/product/ultra-repair-wild-oat-hydrating-toner-P447603?icid2=products%20grid:p447603
Jasmine Green Tea Balancing Toner	Herbivore	39	Toner	Oily, Combination, Sensitive	Oiliness, Acne, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/jasmine-green-tea-balancing-toner-P421600?icid2=products%20grid:p421600
Acne Solutions Clarifying Lotion	Clinique	17	Toner	Normal, Dry, Combination, Oily	Acne, Pores, Oiliness	No	https://www.sephora.com/product/acne-solutions-clarifying-lotion-P188307?icid2=products%20grid:p188307
Green Tea Moisture-Balancing Toner	Innisfree	17	Toner	Combination, Oily	Oiliness, Dryness	No	https://www.sephora.com/product/green-tea-moisture-balancing-toner-P449844?icid2=products%20grid:p449844
Essential Power Skin Toner for Combination to Oily Skin	Laneige	28	Toner	Combination, Oily	Pores, Dullness & Uneven Texture	No	https://www.sephora.com/product/essential-power-skin-toner-for-combination-to-oily-skin-P420672?icid2=products%20grid:p420672
Buffering Lotion	Mario Badescu	19	Toner	Normal Combination, Oily	Acne, Oiliness	No	https://www.sephora.com/product/mario-badescu-buffering-lotion-P440496?icid2=products%20grid:p440496
Nutritious Super-Pomegranate Radiant Energy Lotion	Estée Lauder	58	Toner	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/nutritious-radiant-vitality-energy-lotion-P380017?icid2=products%20grid:p380017
United State Balancing Tonic	Origins	24	Toner	Normal	Pores, Oiliness	Yes	https://www.sephora.com/product/united-state-balancing-tonic-P297533?icid2=products%20grid:p297533
Resurfacing Treatment Toner with Apple Cider	Boscia	28	Toner	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Pores, Acne	Yes	https://www.sephora.com/product/resurfacing-treatment-toner-with-apple-cider-P446918?icid2=products%20grid:p446918
Fresh Calming Toner	Laneige	27	Toner	Normal, Oily, Combination, Dry	Redness, Oiliness	No	https://www.sephora.com/product/fresh-calming-toner-P436653?icid2=products%20grid:p436653
