Product Name	Brand	Price	Category	Skin Type(s)	Skincare Concern(s)	Eco-Friendly?	Link
Superfood Antioxidant Cleanser	Youth to the People	36	Cleanser	Normal, Dry, Combination, Oily	Oiliness, Fine Lines & Wrinkles, Dullness & Uneven Texture	No	https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
The Deep Cleanse Exfoliating Cleanser	Tatcha	38	Cleanser	Normal, Oily, Combination, Sensitive	Pores, Dullness & Uneven Texture, Oiliness	No	https://www.sephora.com/product/the-deep-cleanse-P427536?icid2=products%20grid:p427536
Soy Face Cleanser	Fresh	38	Cleanser	Normal, Dry, Combination, Oily	Dryness, Dullness & Uneven Texture, Loss of Firmness & Elasticity	No	https://www.sephora.com/product/soy-face-cleanser-P7880?icid2=products%20grid:p7880
Beste No. 9 Jelly Cleanser	Drunk Elephant	32	Cleanser	Normal, Oily, Combination, Sensitive	Oiliness	Yes	https://www.sephora.com/product/beste-no-9-jelly-cleanser-P426836?icid2=products%20grid:p426836
Purity Made Simple Cleanser	Philosophy	24	Cleanser	Normal, Dry, Combination, Oily	Pores, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/purity-made-simple-P7109?icid2=products%20grid:p7109
Squalane Cleanser	The Ordinary	7.9	Cleanser	Normal, Dry, Combination, Oily	Pores, Dryness	No	https://www.sephora.com/product/the-ordinary-squalane-cleanser-P444718?icid2=products%20grid:p444718
Truth Juice Daily Cleanser	Olehenriksen	28	Cleanser	Normal, Dry, Combination, Oily	Dullness & Uneven Texture, Dryness	Yes	https://www.sephora.com/product/ole-henriksen-truth-juice-daily-cleanser-P453227?icid2=products%20grid:p453227
Pure Skin Face Cleanser	First Aid Beauty	21	Cleanser	Normal, Dry, Combination	Dryness, Pores, Redness	Yes	https://www.sephora.com/product/face-cleanser-P248404?icid2=products%20grid:p248404
Greek Yoghurt Foaming Cream Cleanser	Korres	26	Cleanser	Normal, Oily, Combination, Dry, Sensitive	Dryness, Redness	Yes	https://www.sephora.com/product/greek-yoghurt-foaming-cream-cleanser-P392253?icid2=products%20grid:p392253
ExfoliKate Cleanser Daily Foaming Wash	Kate Somerville	38	Cleanser	Normal, Dry, Combination, Oily	Pores, Dark Spots, Dullness & Uneven Texture	No	https://www.sephora.com/product/exfolikate-cleanser-daily-foaming-wash-P404322?icid2=products%20grid:p404322
Sugar Strawberry Exfoliating Face Wash	Fresh	33	Cleanser	Normal, Dry, Combination, Oily	Oiliness, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/sugar-strawberry-exfoliating-face-wash-P445827?icid2=products%20grid:p445827
Find Your Balance Oil Control Cleanser	Olehenriksen	26	Cleanser	Oily, Combination	Oiliness, Pores, Acne	Yes	https://www.sephora.com/product/find-your-balance-oil-control-cleanser-P416815?icid2=products%20grid:p416815
Calendula Deep Clean Foaming Face Wash	Kiehl's Since 1851	32	Cleanser	Oily, Combination	Oiliness, Acne	No	https://www.sephora.com/product/calendula-deep-clean-foaming-face-wash-P422013?icid2=products%20grid:p422013
Liquid Facial Soap	Clinique	18.5	Cleanser	Normal, Oily, Combination, Dry, Sensitive	Dryness	No	https://www.sephora.com/product/liquid-facial-soap-P139000?icid2=products%20grid:p139000
Clear Complexion Cleanser	Boscia	28	Cleanser	Normal, Dry, Combination, Oily	Acne, Redness	Yes	https://www.sephora.com/product/clear-complexion-cleanser-P199612?icid2=products%20grid:p199612
Blueberry Bounce Gentle Cleanser	Glow Recipe	34	Cleanser	Normal, Dry, Combination, Oily	Acne, Pores, Oiliness	Yes	https://www.sephora.com/product/blueberry-bounce-gentle-cleanser-P436359?icid2=products%20grid:p436359
Ultra Facial Cleanser	Kiehl's Since 1851	21	Cleanser	Normal, Dry, Sensitive	Oiliness, Dullness & Uneven Texture, Acne	No	https://www.sephora.com/product/ultra-facial-cleanser-P422007?icid2=products%20grid:p422007
Facial Treatment Cleanser	SK-II	75	Cleanser	Normal, Oily, Combination, Dry, Sensitive	Pores, Dryness, Dullness & Uneven Texture	No	https://www.sephora.com/product/facial-treatment-cleanser-P375850?icid2=products%20grid:p375850
Vinopure Pore Purifying Gel Cleanser	Caudalie	28	Cleanser	Combination, Oily	Pores, Acne, Oiliness	Yes	https://www.sephora.com/product/vinopure-pore-purifying-gel-cleanser-P446939?icid2=products%20grid:p446939
Detoxifying Black Charcoal Cleanser	Boscia	30	Cleanser	Normal, Dry, Combination, Oily	Pores, Dullness & Uneven Texture, Oiliness	Yes	https://www.sephora.com/product/detoxifying-black-cleanser-P302940?icid2=products%20grid:p302940
Micellar Cleansing Water	Caudalie	14	Cleanser	Normal, Oily, Combination, Dry, Sensitive	Dryness, Dullness & Uneven Texture	Yes	https://www.sephora.com/product/micellar-cleansing-water-P381020?icid2=products%20grid:p381020
The Cleansing Foam	La Mer	95	Cleanser	Normal, Dry, Combination, Oily	Dryness, Fine Lines & Wrinkles, Pores	No	https://www.sephora.com/product/the-cleansing-foam-P416344?icid2=products%20grid:p416344
Squalane + Tea Tree Cleansing Gel	Biossance	29	Cleanser	Normal, Dry, Combination, Oily	Acne, Pores, Oiliness	Yes	https://www.sephora.com/product/squalane-tea-tree-cleansing-gel-P442549?icid2=products%20grid:p442549
Green Tea Hydrating Cleansing Foam	Innisfree	10	Cleanser	Normal, Dry, Combination, Oily	Oiliness, Dryness	No	https://www.sephora.com/product/green-tea-hydrating-cleansing-foam-P449843?icid2=products%20grid:p449843
